loc,length,bug type,approach
78,10,Overflow-Underflow,code snippet injection
67,8,Overflow-Underflow,code snippet injection
60,4,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
242,10,Overflow-Underflow,code snippet injection
219,8,Overflow-Underflow,code snippet injection
196,4,Overflow-Underflow,code snippet injection
177,4,Overflow-Underflow,code snippet injection
151,10,Overflow-Underflow,code snippet injection
130,8,Overflow-Underflow,code snippet injection
105,4,Overflow-Underflow,code snippet injection
49,8,Overflow-Underflow,code snippet injection
44,4,Overflow-Underflow,code snippet injection
31,10,Overflow-Underflow,code snippet injection
21,8,Overflow-Underflow,code snippet injection
16,4,Overflow-Underflow,code snippet injection
11,4,Overflow-Underflow,code snippet injection
