loc,length,bug type,approach
77,3,Unchecked-Send,code snippet injection
71,5,Unchecked-Send,code snippet injection
67,3,Unchecked-Send,code snippet injection
63,3,Unchecked-Send,code snippet injection
59,3,Unchecked-Send,code snippet injection
55,3,Unchecked-Send,code snippet injection
52,2,Unchecked-Send,code snippet injection
257,3,Unchecked-Send,code snippet injection
247,3,Unchecked-Send,code snippet injection
239,3,Unchecked-Send,code snippet injection
231,3,Unchecked-Send,code snippet injection
223,3,Unchecked-Send,code snippet injection
209,3,Unchecked-Send,code snippet injection
172,3,Unchecked-Send,code snippet injection
129,3,Unchecked-Send,code snippet injection
110,3,Unchecked-Send,code snippet injection
94,3,Unchecked-Send,code snippet injection
86,3,Unchecked-Send,code snippet injection
46,3,Unchecked-Send,code snippet injection
33,3,Unchecked-Send,code snippet injection
10,3,Unchecked-Send,code snippet injection
