loc,length,bug type,approach
202,3,Unchecked-Send,code snippet injection
196,5,Unchecked-Send,code snippet injection
192,3,Unchecked-Send,code snippet injection
31,3,Unchecked-Send,code snippet injection
27,3,Unchecked-Send,code snippet injection
23,3,Unchecked-Send,code snippet injection
20,2,Unchecked-Send,code snippet injection
262,3,Unchecked-Send,code snippet injection
249,3,Unchecked-Send,code snippet injection
232,3,Unchecked-Send,code snippet injection
219,3,Unchecked-Send,code snippet injection
211,3,Unchecked-Send,code snippet injection
171,3,Unchecked-Send,code snippet injection
162,3,Unchecked-Send,code snippet injection
153,3,Unchecked-Send,code snippet injection
143,3,Unchecked-Send,code snippet injection
133,3,Unchecked-Send,code snippet injection
125,3,Unchecked-Send,code snippet injection
117,3,Unchecked-Send,code snippet injection
109,3,Unchecked-Send,code snippet injection
101,3,Unchecked-Send,code snippet injection
93,3,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
60,3,Unchecked-Send,code snippet injection
52,3,Unchecked-Send,code snippet injection
44,3,Unchecked-Send,code snippet injection
184,6,Unchecked-Send,code snippet injection
178,5,Unchecked-Send,code snippet injection
15,3,Unchecked-Send,code snippet injection
11,3,Unchecked-Send,code snippet injection
7,3,Unchecked-Send,code snippet injection
