loc,length,bug type,approach
198,3,Unchecked-Send,code snippet injection
192,5,Unchecked-Send,code snippet injection
188,3,Unchecked-Send,code snippet injection
73,3,Unchecked-Send,code snippet injection
36,3,Unchecked-Send,code snippet injection
405,3,Unchecked-Send,code snippet injection
393,2,Unchecked-Send,code snippet injection
383,3,Unchecked-Send,code snippet injection
372,3,Unchecked-Send,code snippet injection
365,3,Unchecked-Send,code snippet injection
311,3,Unchecked-Send,code snippet injection
300,3,Unchecked-Send,code snippet injection
282,3,Unchecked-Send,code snippet injection
261,3,Unchecked-Send,code snippet injection
250,3,Unchecked-Send,code snippet injection
238,3,Unchecked-Send,code snippet injection
231,3,Unchecked-Send,code snippet injection
225,3,Unchecked-Send,code snippet injection
220,3,Unchecked-Send,code snippet injection
135,3,Unchecked-Send,code snippet injection
123,3,Unchecked-Send,code snippet injection
88,3,Unchecked-Send,code snippet injection
57,2,Unchecked-Send,code snippet injection
44,3,Unchecked-Send,code snippet injection
349,3,Unchecked-Send,code snippet injection
178,3,Unchecked-Send,code snippet injection
171,6,Unchecked-Send,code snippet injection
165,5,Unchecked-Send,code snippet injection
161,3,Unchecked-Send,code snippet injection
68,3,Unchecked-Send,code snippet injection
31,3,Unchecked-Send,code snippet injection
