loc,length,bug type,approach
233,3,Unchecked-Send,code snippet injection
227,5,Unchecked-Send,code snippet injection
223,3,Unchecked-Send,code snippet injection
219,3,Unchecked-Send,code snippet injection
215,3,Unchecked-Send,code snippet injection
211,3,Unchecked-Send,code snippet injection
40,2,Unchecked-Send,code snippet injection
36,3,Unchecked-Send,code snippet injection
505,3,Unchecked-Send,code snippet injection
448,3,Unchecked-Send,code snippet injection
418,3,Unchecked-Send,code snippet injection
389,3,Unchecked-Send,code snippet injection
364,3,Unchecked-Send,code snippet injection
324,3,Unchecked-Send,code snippet injection
296,3,Unchecked-Send,code snippet injection
277,3,Unchecked-Send,code snippet injection
87,3,Unchecked-Send,code snippet injection
83,3,Unchecked-Send,code snippet injection
79,3,Unchecked-Send,code snippet injection
75,3,Unchecked-Send,code snippet injection
71,3,Unchecked-Send,code snippet injection
67,3,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
56,3,Unchecked-Send,code snippet injection
49,3,Unchecked-Send,code snippet injection
29,3,Unchecked-Send,code snippet injection
14,6,Unchecked-Send,code snippet injection
204,5,Unchecked-Send,code snippet injection
199,3,Unchecked-Send,code snippet injection
195,3,Unchecked-Send,code snippet injection
191,3,Unchecked-Send,code snippet injection
187,3,Unchecked-Send,code snippet injection
184,2,Unchecked-Send,code snippet injection
174,9,Unchecked-Send,code snippet injection
164,9,Unchecked-Send,code snippet injection
6,3,Unchecked-Send,code snippet injection
