loc,length,bug type,approach
266,3,Unchecked-Send,code snippet injection
99,5,Unchecked-Send,code snippet injection
93,3,Unchecked-Send,code snippet injection
87,3,Unchecked-Send,code snippet injection
11,3,Unchecked-Send,code snippet injection
347,3,Unchecked-Send,code snippet injection
336,2,Unchecked-Send,code snippet injection
327,3,Unchecked-Send,code snippet injection
316,3,Unchecked-Send,code snippet injection
305,3,Unchecked-Send,code snippet injection
292,3,Unchecked-Send,code snippet injection
277,3,Unchecked-Send,code snippet injection
241,3,Unchecked-Send,code snippet injection
220,3,Unchecked-Send,code snippet injection
198,3,Unchecked-Send,code snippet injection
180,3,Unchecked-Send,code snippet injection
161,3,Unchecked-Send,code snippet injection
145,3,Unchecked-Send,code snippet injection
121,3,Unchecked-Send,code snippet injection
45,3,Unchecked-Send,code snippet injection
24,3,Unchecked-Send,code snippet injection
260,3,Unchecked-Send,code snippet injection
256,2,Unchecked-Send,code snippet injection
252,3,Unchecked-Send,code snippet injection
81,3,Unchecked-Send,code snippet injection
77,3,Unchecked-Send,code snippet injection
68,6,Unchecked-Send,code snippet injection
61,5,Unchecked-Send,code snippet injection
57,3,Unchecked-Send,code snippet injection
53,3,Unchecked-Send,code snippet injection
6,3,Unchecked-Send,code snippet injection
