loc,length,bug type,approach
515,13,TOD,code snippet injection
467,18,TOD,code snippet injection
447,13,TOD,code snippet injection
422,18,TOD,code snippet injection
402,13,TOD,code snippet injection
359,18,TOD,code snippet injection
338,13,TOD,code snippet injection
312,18,TOD,code snippet injection
290,13,TOD,code snippet injection
265,18,TOD,code snippet injection
248,13,TOD,code snippet injection
226,18,TOD,code snippet injection
203,18,TOD,code snippet injection
184,13,TOD,code snippet injection
161,18,TOD,code snippet injection
144,13,TOD,code snippet injection
488,18,TOD,code snippet injection
382,13,TOD,code snippet injection
120,18,TOD,code snippet injection
106,13,TOD,code snippet injection
84,18,TOD,code snippet injection
70,13,TOD,code snippet injection
