loc,length,bug type,approach
39,13,TOD,code snippet injection
20,18,TOD,code snippet injection
6,13,TOD,code snippet injection
444,18,TOD,code snippet injection
426,13,TOD,code snippet injection
401,18,TOD,code snippet injection
382,13,TOD,code snippet injection
354,18,TOD,code snippet injection
337,13,TOD,code snippet injection
312,18,TOD,code snippet injection
291,13,TOD,code snippet injection
249,18,TOD,code snippet injection
210,18,TOD,code snippet injection
175,13,TOD,code snippet injection
154,18,TOD,code snippet injection
140,13,TOD,code snippet injection
120,18,TOD,code snippet injection
106,13,TOD,code snippet injection
87,18,TOD,code snippet injection
73,13,TOD,code snippet injection
54,18,TOD,code snippet injection
