loc,length,bug type,approach
303,13,TOD,code snippet injection
284,18,TOD,code snippet injection
40,13,TOD,code snippet injection
497,18,TOD,code snippet injection
478,13,TOD,code snippet injection
456,18,TOD,code snippet injection
438,13,TOD,code snippet injection
416,18,TOD,code snippet injection
399,13,TOD,code snippet injection
370,18,TOD,code snippet injection
349,13,TOD,code snippet injection
168,18,TOD,code snippet injection
149,18,TOD,code snippet injection
135,13,TOD,code snippet injection
80,18,TOD,code snippet injection
58,13,TOD,code snippet injection
323,18,TOD,code snippet injection
270,13,TOD,code snippet injection
251,18,TOD,code snippet injection
236,13,TOD,code snippet injection
217,18,TOD,code snippet injection
203,13,TOD,code snippet injection
189,13,TOD,code snippet injection
20,18,TOD,code snippet injection
6,13,TOD,code snippet injection
