loc,length,bug type,approach
364,13,TOD,code snippet injection
345,18,TOD,code snippet injection
331,13,TOD,code snippet injection
312,18,TOD,code snippet injection
52,13,TOD,code snippet injection
940,18,TOD,code snippet injection
922,13,TOD,code snippet injection
899,18,TOD,code snippet injection
881,13,TOD,code snippet injection
858,18,TOD,code snippet injection
839,13,TOD,code snippet injection
815,18,TOD,code snippet injection
789,18,TOD,code snippet injection
772,13,TOD,code snippet injection
748,18,TOD,code snippet injection
728,13,TOD,code snippet injection
703,18,TOD,code snippet injection
634,13,TOD,code snippet injection
609,18,TOD,code snippet injection
590,13,TOD,code snippet injection
515,18,TOD,code snippet injection
497,13,TOD,code snippet injection
478,13,TOD,code snippet injection
456,18,TOD,code snippet injection
439,13,TOD,code snippet injection
417,18,TOD,code snippet injection
191,13,TOD,code snippet injection
169,18,TOD,code snippet injection
152,13,TOD,code snippet injection
130,18,TOD,code snippet injection
102,13,TOD,code snippet injection
71,18,TOD,code snippet injection
399,13,TOD,code snippet injection
380,18,TOD,code snippet injection
293,18,TOD,code snippet injection
279,13,TOD,code snippet injection
260,18,TOD,code snippet injection
246,13,TOD,code snippet injection
227,18,TOD,code snippet injection
213,13,TOD,code snippet injection
