loc,length,bug type,approach
384,13,TOD,code snippet injection
358,18,TOD,code snippet injection
335,13,TOD,code snippet injection
293,18,TOD,code snippet injection
276,13,TOD,code snippet injection
254,18,TOD,code snippet injection
213,13,TOD,code snippet injection
194,18,TOD,code snippet injection
180,13,TOD,code snippet injection
161,18,TOD,code snippet injection
146,13,TOD,code snippet injection
127,18,TOD,code snippet injection
107,18,TOD,code snippet injection
93,13,TOD,code snippet injection
74,18,TOD,code snippet injection
59,13,TOD,code snippet injection
40,18,TOD,code snippet injection
26,13,TOD,code snippet injection
