loc,length,bug type,approach
762,13,TOD,code snippet injection
731,18,TOD,code snippet injection
711,13,TOD,code snippet injection
686,18,TOD,code snippet injection
666,13,TOD,code snippet injection
581,18,TOD,code snippet injection
559,13,TOD,code snippet injection
522,18,TOD,code snippet injection
496,13,TOD,code snippet injection
464,18,TOD,code snippet injection
437,13,TOD,code snippet injection
404,18,TOD,code snippet injection
372,18,TOD,code snippet injection
344,13,TOD,code snippet injection
311,18,TOD,code snippet injection
284,13,TOD,code snippet injection
252,18,TOD,code snippet injection
229,13,TOD,code snippet injection
201,18,TOD,code snippet injection
179,13,TOD,code snippet injection
641,18,TOD,code snippet injection
627,13,TOD,code snippet injection
613,13,TOD,code snippet injection
153,18,TOD,code snippet injection
138,13,TOD,code snippet injection
118,18,TOD,code snippet injection
