loc,length,bug type,approach
376,13,TOD,code snippet injection
357,18,TOD,code snippet injection
343,13,TOD,code snippet injection
133,18,TOD,code snippet injection
45,13,TOD,code snippet injection
769,18,TOD,code snippet injection
746,13,TOD,code snippet injection
721,18,TOD,code snippet injection
700,13,TOD,code snippet injection
678,18,TOD,code snippet injection
604,13,TOD,code snippet injection
578,18,TOD,code snippet injection
545,18,TOD,code snippet injection
514,13,TOD,code snippet injection
488,18,TOD,code snippet injection
466,13,TOD,code snippet injection
444,18,TOD,code snippet injection
428,13,TOD,code snippet injection
408,18,TOD,code snippet injection
235,13,TOD,code snippet injection
208,18,TOD,code snippet injection
163,13,TOD,code snippet injection
91,13,TOD,code snippet injection
63,18,TOD,code snippet injection
652,13,TOD,code snippet injection
318,18,TOD,code snippet injection
304,13,TOD,code snippet injection
285,18,TOD,code snippet injection
271,13,TOD,code snippet injection
113,18,TOD,code snippet injection
30,13,TOD,code snippet injection
