loc,length,bug type,approach
565,13,TOD,code snippet injection
541,18,TOD,code snippet injection
22,13,TOD,code snippet injection
987,18,TOD,code snippet injection
963,13,TOD,code snippet injection
924,18,TOD,code snippet injection
874,13,TOD,code snippet injection
837,18,TOD,code snippet injection
807,13,TOD,code snippet injection
771,18,TOD,code snippet injection
746,13,TOD,code snippet injection
720,18,TOD,code snippet injection
695,18,TOD,code snippet injection
669,13,TOD,code snippet injection
646,18,TOD,code snippet injection
626,13,TOD,code snippet injection
599,18,TOD,code snippet injection
516,13,TOD,code snippet injection
482,18,TOD,code snippet injection
461,13,TOD,code snippet injection
435,18,TOD,code snippet injection
392,13,TOD,code snippet injection
369,13,TOD,code snippet injection
62,18,TOD,code snippet injection
40,13,TOD,code snippet injection
335,18,TOD,code snippet injection
321,13,TOD,code snippet injection
302,18,TOD,code snippet injection
287,13,TOD,code snippet injection
268,18,TOD,code snippet injection
254,13,TOD,code snippet injection
233,18,TOD,code snippet injection
219,13,TOD,code snippet injection
199,18,TOD,code snippet injection
179,18,TOD,code snippet injection
7,13,TOD,code snippet injection
