loc,length,bug type,approach
631,13,TOD,code snippet injection
607,18,TOD,code snippet injection
586,13,TOD,code snippet injection
564,18,TOD,code snippet injection
545,13,TOD,code snippet injection
520,18,TOD,code snippet injection
500,13,TOD,code snippet injection
461,18,TOD,code snippet injection
441,13,TOD,code snippet injection
417,18,TOD,code snippet injection
387,13,TOD,code snippet injection
363,18,TOD,code snippet injection
341,18,TOD,code snippet injection
324,13,TOD,code snippet injection
302,18,TOD,code snippet injection
166,13,TOD,code snippet injection
144,18,TOD,code snippet injection
127,13,TOD,code snippet injection
105,18,TOD,code snippet injection
284,13,TOD,code snippet injection
265,18,TOD,code snippet injection
251,13,TOD,code snippet injection
237,13,TOD,code snippet injection
218,18,TOD,code snippet injection
203,13,TOD,code snippet injection
184,18,TOD,code snippet injection
85,13,TOD,code snippet injection
66,18,TOD,code snippet injection
52,13,TOD,code snippet injection
