loc,length,bug type,approach
200,13,TOD,code snippet injection
162,18,TOD,code snippet injection
486,13,TOD,code snippet injection
465,18,TOD,code snippet injection
445,13,TOD,code snippet injection
418,18,TOD,code snippet injection
400,13,TOD,code snippet injection
377,18,TOD,code snippet injection
358,13,TOD,code snippet injection
335,18,TOD,code snippet injection
318,13,TOD,code snippet injection
295,18,TOD,code snippet injection
273,18,TOD,code snippet injection
256,13,TOD,code snippet injection
235,18,TOD,code snippet injection
218,13,TOD,code snippet injection
162,18,TOD,code snippet injection
141,13,TOD,code snippet injection
122,18,TOD,code snippet injection
108,13,TOD,code snippet injection
89,18,TOD,code snippet injection
75,13,TOD,code snippet injection
61,13,TOD,code snippet injection
