loc,length,bug type,approach
426,13,TOD,code snippet injection
407,18,TOD,code snippet injection
393,13,TOD,code snippet injection
374,18,TOD,code snippet injection
360,13,TOD,code snippet injection
341,18,TOD,code snippet injection
142,13,TOD,code snippet injection
823,18,TOD,code snippet injection
791,13,TOD,code snippet injection
764,18,TOD,code snippet injection
726,13,TOD,code snippet injection
702,18,TOD,code snippet injection
680,18,TOD,code snippet injection
658,13,TOD,code snippet injection
632,18,TOD,code snippet injection
611,13,TOD,code snippet injection
588,18,TOD,code snippet injection
563,13,TOD,code snippet injection
540,18,TOD,code snippet injection
522,13,TOD,code snippet injection
493,18,TOD,code snippet injection
471,13,TOD,code snippet injection
446,13,TOD,code snippet injection
209,18,TOD,code snippet injection
188,13,TOD,code snippet injection
160,18,TOD,code snippet injection
326,13,TOD,code snippet injection
307,18,TOD,code snippet injection
293,13,TOD,code snippet injection
273,18,TOD,code snippet injection
259,13,TOD,code snippet injection
240,18,TOD,code snippet injection
126,13,TOD,code snippet injection
107,18,TOD,code snippet injection
